borrower_id,capacity__current_ratio_status,capacity__leverage_ratio_status,capacity__dscr_status,capacity__interest_coverage_ratio_status,capacity__cash_flow_match_ratio_status,capacity__revenue_cagr_3yr_status,capacity__projected_revenue_growth_rate_status,capacity__customer_concentration_pct_status,capacity__supplier_concentration_pct_status,character__bureau_score_status,character__civil_suit_years_since_active_status,character__other_legal_dispute_years_since_active_status,character__owner_time_in_business_years_status,character__cheque_bounce_rate_status,capital__net_worth_to_assets_ratio_status,compliance__covenant_compliance_flag_status,compliance__gst_ontime_filing_ratio_status,compliance__epfo_ontime_remittance_ratio_status,compliance__utility_payment_timeliness_status,compliance__rent_payment_timeliness_status,compliance__salary_payment_timeliness_status,collateral__collateral_quality_score_status
MSME-00140,not_applicable,not_applicable,available,available,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,available,available,not_applicable,available,available,available,not_applicable
MSME-00141,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00142,not_applicable,not_applicable,available,available,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00143,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available,available
MSME-00144,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00145,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00146,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00147,not_applicable,not_applicable,available,available,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00148,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00149,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00150,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00151,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable
MSME-00152,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable
MSME-00153,not_applicable,not_applicable,available,available,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,available,available,not_applicable,available,available,available,not_applicable
MSME-00154,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00155,not_applicable,not_applicable,available,available,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00156,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable
MSME-00157,not_applicable,not_applicable,available,available,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00158,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable
MSME-00159,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00160,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MSME-00161,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00162,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00163,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00164,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,not_applicable,available,available,available,available
MSME-00165,available,available,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,available,available,available,available,insufficient_data,available,not_applicable,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,available
MSME-00166,not_applicable,not_applicable,available,available,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,available,available,not_applicable,available,available,available,not_applicable
MSME-00167,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00168,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable
MSME-00169,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00170,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable
MSME-00171,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00172,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,not_applicable,available,available,available,not_applicable
