borrower_id,tier,quality_tier,epfo_reliability_flag
MSME-00081,C,Full,reliable
MSME-00082,A,Full,not_applicable
MSME-00083,C,Full,reliable
MSME-00084,A,Full,not_applicable
MSME-00085,A,Full,not_applicable
MSME-00086,A,Full,not_applicable
MSME-00087,C,Full,reliable
MSME-00088,A,Full,not_applicable
MSME-00089,A,Full,not_applicable
MSME-00090,A,Full,not_applicable
MSME-00091,A,Full,not_applicable
MSME-00092,C,Partial,reliable
MSME-00093,A,Full,not_applicable
MSME-00094,A,Full,not_applicable
MSME-00095,A,Thin,not_applicable
MSME-00096,C,Partial,reliable
MSME-00097,A,Thin,not_applicable
MSME-00098,A,Thin,not_applicable
MSME-00099,A,Full,not_applicable
MSME-00100,C,Full,reliable
MSME-00101,C,Full,reliable
MSME-00102,C,Full,reliable
MSME-00103,A,Full,not_applicable
MSME-00104,C,Full,reliable
MSME-00105,C,Full,reliable
MSME-00106,C,Full,reliable
MSME-00107,A,Thin,not_applicable
MSME-00108,A,Full,not_applicable
MSME-00109,A,Thin,not_applicable
MSME-00110,C,Full,reliable
MSME-00111,A,Full,not_applicable
MSME-00112,A,Partial,not_applicable
MSME-00113,A,Full,not_applicable
MSME-00114,A,Partial,not_applicable
MSME-00115,A,Thin,not_applicable
MSME-00116,C,Full,reliable
MSME-00117,C,Full,reliable
MSME-00118,C,Full,reliable
MSME-00119,A,Full,not_applicable
MSME-00120,C,Full,reliable
MSME-00121,A,Full,not_applicable
MSME-00122,C,Partial,reliable
MSME-00123,A,Full,not_applicable
MSME-00124,A,Thin,not_applicable
MSME-00125,A,Full,not_applicable
MSME-00126,A,Full,not_applicable
MSME-00127,A,Full,not_applicable
MSME-00128,A,Partial,not_applicable
MSME-00129,A,Full,not_applicable
MSME-00130,A,Full,not_applicable
MSME-00131,A,Full,not_applicable
MSME-00132,C,Full,reliable
MSME-00133,A,Full,not_applicable
MSME-00134,A,Thin,not_applicable
MSME-00135,A,Full,not_applicable
MSME-00136,A,Thin,not_applicable
MSME-00137,C,Full,reliable
MSME-00138,A,Full,not_applicable
MSME-00139,C,Full,reliable
MSME-00140,A,Full,not_applicable
MSME-00141,A,Full,not_applicable
MSME-00142,A,Full,not_applicable
MSME-00143,C,Full,reliable
MSME-00144,A,Full,not_applicable
MSME-00145,A,Full,not_applicable
MSME-00146,A,Full,not_applicable
MSME-00147,A,Full,not_applicable
MSME-00148,A,Full,not_applicable
MSME-00149,A,Full,not_applicable
MSME-00150,A,Full,not_applicable
MSME-00151,C,Full,reliable
MSME-00152,C,Full,reliable
MSME-00153,A,Full,not_applicable
MSME-00154,A,Full,not_applicable
MSME-00155,A,Partial,not_applicable
MSME-00156,C,Partial,reliable
MSME-00157,A,Full,not_applicable
MSME-00158,C,Full,reliable
MSME-00159,C,Full,reliable
MSME-00160,C,Full,reliable
MSME-00161,A,Full,not_applicable
MSME-00162,C,Full,reliable
MSME-00163,A,Full,not_applicable
MSME-00164,A,Full,not_applicable
MSME-00165,A,Thin,not_applicable
MSME-00166,A,Full,not_applicable
MSME-00167,C,Partial,reliable
MSME-00168,C,Full,reliable
MSME-00169,A,Full,not_applicable
MSME-00170,C,Full,reliable
MSME-00171,A,Full,not_applicable
MSME-00172,A,Full,not_applicable
MSME-00173,A,Thin,not_applicable
MSME-00174,C,Full,reliable
MSME-00175,A,Full,not_applicable
MSME-00176,A,Full,not_applicable
MSME-00177,A,Full,not_applicable
MSME-00178,C,Full,reliable
MSME-00179,C,Full,reliable
MSME-00180,C,Full,reliable
MSME-00181,C,Partial,reliable
MSME-00182,C,Full,reliable
MSME-00183,A,Full,not_applicable
MSME-00184,A,Full,not_applicable
MSME-00185,C,Full,reliable
MSME-00186,C,Full,reliable
MSME-00187,A,Full,not_applicable
MSME-00188,A,Full,not_applicable
MSME-00189,C,Full,reliable
MSME-00190,A,Full,not_applicable
MSME-00191,C,Full,reliable
MSME-00192,A,Thin,not_applicable
MSME-00193,A,Full,not_applicable
MSME-00194,C,Full,reliable
MSME-00195,A,Partial,not_applicable
MSME-00196,A,Full,not_applicable
MSME-00197,A,Full,not_applicable
MSME-00198,C,Full,reliable
MSME-00199,A,Full,not_applicable
MSME-00200,A,Thin,not_applicable
MSME-00201,C,Full,reliable
MSME-00202,C,Full,reliable
MSME-00203,A,Full,not_applicable
MSME-00204,A,Full,not_applicable
MSME-00205,A,Full,not_applicable
MSME-00206,A,Full,not_applicable
MSME-00207,A,Full,not_applicable
MSME-00208,C,Full,reliable
MSME-00209,A,Thin,not_applicable
MSME-00210,A,Thin,not_applicable
MSME-00211,C,Full,reliable
MSME-00212,A,Full,not_applicable
MSME-00213,A,Full,not_applicable
MSME-00214,C,Partial,reliable
MSME-00215,C,Full,reliable
MSME-00216,C,Full,reliable
MSME-00217,A,Full,not_applicable
MSME-00218,A,Full,not_applicable
MSME-00219,C,Full,reliable
MSME-00220,A,Thin,not_applicable
MSME-00221,A,Full,not_applicable
MSME-00222,A,Full,not_applicable
MSME-00223,C,Partial,reliable
MSME-00224,C,Full,reliable
MSME-00225,A,Full,not_applicable
MSME-00226,C,Full,reliable
MSME-00227,A,Partial,not_applicable
MSME-00228,A,Full,not_applicable
MSME-00229,C,Full,reliable
MSME-00230,A,Full,not_applicable
MSME-00231,A,Full,not_applicable
MSME-00232,A,Thin,not_applicable
MSME-00233,C,Full,reliable
MSME-00234,A,Thin,not_applicable
MSME-00235,C,Full,reliable
MSME-00236,C,Full,reliable
MSME-00237,A,Full,not_applicable
MSME-00238,C,Full,reliable
MSME-00239,A,Full,not_applicable
MSME-00240,A,Full,not_applicable
MSME-00241,C,Full,reliable
MSME-00242,C,Full,reliable
MSME-00243,A,Full,not_applicable
MSME-00244,A,Full,not_applicable
MSME-00245,C,Full,reliable
MSME-00246,C,Full,reliable
MSME-00247,C,Full,reliable
MSME-00248,A,Full,not_applicable
MSME-00249,A,Full,not_applicable
MSME-00250,A,Full,not_applicable
MSME-00251,C,Full,reliable
MSME-00252,C,Full,reliable
MSME-00253,A,Full,not_applicable
MSME-00254,A,Full,not_applicable
MSME-00255,A,Full,not_applicable
MSME-00256,C,Full,reliable
MSME-00257,C,Full,reliable
MSME-00258,A,Full,not_applicable
MSME-00259,A,Full,not_applicable
MSME-00260,A,Full,not_applicable
MSME-00261,A,Thin,not_applicable
MSME-00262,C,Full,reliable
MSME-00263,A,Thin,not_applicable
MSME-00264,A,Full,not_applicable
MSME-00265,C,Full,reliable
MSME-00266,A,Partial,not_applicable
MSME-00267,A,Full,not_applicable
MSME-00268,A,Full,not_applicable
MSME-00269,A,Full,not_applicable
MSME-00270,A,Full,not_applicable
MSME-00271,A,Full,not_applicable
MSME-00272,A,Full,not_applicable
MSME-00273,A,Full,not_applicable
MSME-00274,A,Partial,not_applicable
MSME-00275,C,Partial,reliable
MSME-00276,A,Thin,not_applicable
MSME-00277,A,Full,not_applicable
MSME-00278,A,Full,not_applicable
MSME-00279,C,Full,reliable
MSME-00280,C,Full,reliable
MSME-00281,A,Thin,not_applicable
MSME-00282,A,Full,not_applicable
MSME-00283,A,Full,not_applicable
MSME-00284,A,Partial,not_applicable
MSME-00285,A,Full,not_applicable
MSME-00286,A,Full,not_applicable
MSME-00287,A,Full,not_applicable
MSME-00288,A,Full,not_applicable
MSME-00289,A,Full,not_applicable
MSME-00290,A,Full,not_applicable
MSME-00291,C,Full,reliable
MSME-00292,A,Full,not_applicable
MSME-00293,C,Full,reliable
MSME-00294,A,Thin,not_applicable
MSME-00295,C,Full,reliable
MSME-00296,C,Full,reliable
MSME-00297,C,Full,reliable
MSME-00298,C,Partial,reliable
MSME-00299,C,Full,reliable
MSME-00300,C,Full,reliable
MSME-00301,C,Full,reliable
MSME-00302,A,Thin,not_applicable
MSME-00303,A,Full,not_applicable
MSME-00304,A,Full,not_applicable
MSME-00305,C,Full,reliable
MSME-00306,A,Thin,not_applicable
MSME-00307,A,Partial,not_applicable
MSME-00308,C,Full,reliable
MSME-00309,A,Full,not_applicable
MSME-00310,A,Full,not_applicable
MSME-00311,A,Full,not_applicable
MSME-00312,A,Full,not_applicable
MSME-00313,A,Full,not_applicable
MSME-00314,A,Partial,not_applicable
MSME-00315,A,Thin,not_applicable
MSME-00316,A,Full,not_applicable
MSME-00317,A,Full,not_applicable
MSME-00318,C,Full,reliable
MSME-00319,A,Full,not_applicable
MSME-00320,C,Partial,reliable
MSME-00321,C,Full,reliable
MSME-00322,A,Full,not_applicable
MSME-00323,A,Partial,not_applicable
MSME-00324,A,Full,not_applicable
MSME-00325,C,Full,reliable
MSME-00326,C,Full,reliable
MSME-00327,C,Full,reliable
MSME-00328,A,Full,not_applicable
MSME-00329,C,Full,reliable
MSME-00330,A,Full,not_applicable
MSME-00331,C,Full,reliable
MSME-00332,A,Thin,not_applicable
MSME-00333,C,Full,reliable
MSME-00334,C,Full,reliable
MSME-00335,A,Partial,not_applicable
MSME-00336,C,Full,reliable
MSME-00337,A,Full,not_applicable
MSME-00338,C,Full,reliable
MSME-00339,A,Full,not_applicable
MSME-00340,C,Full,reliable
MSME-00341,A,Full,not_applicable
MSME-00342,C,Full,reliable
MSME-00343,C,Partial,reliable
MSME-00344,A,Full,not_applicable
MSME-00345,C,Full,reliable
MSME-00346,C,Full,reliable
MSME-00347,C,Full,reliable
MSME-00348,A,Thin,not_applicable
MSME-00349,A,Full,not_applicable
MSME-00350,A,Full,not_applicable
MSME-00351,C,Full,reliable
MSME-00352,A,Partial,not_applicable
MSME-00353,A,Full,not_applicable
MSME-00354,A,Full,not_applicable
MSME-00355,A,Full,not_applicable
MSME-00356,A,Full,not_applicable
MSME-00357,C,Full,reliable
MSME-00358,C,Full,reliable
MSME-00359,A,Thin,not_applicable
MSME-00360,A,Full,not_applicable
MSME-00361,C,Full,reliable
MSME-00362,A,Full,not_applicable
MSME-00363,A,Partial,not_applicable
MSME-00364,A,Full,not_applicable
MSME-00365,C,Full,reliable
MSME-00366,A,Full,not_applicable
MSME-00367,C,Partial,reliable
MSME-00368,C,Full,reliable
MSME-00369,A,Full,not_applicable
MSME-00370,C,Full,reliable
MSME-00371,C,Full,reliable
MSME-00372,A,Thin,not_applicable
MSME-00373,A,Full,not_applicable
MSME-00374,A,Partial,not_applicable
MSME-00375,A,Full,not_applicable
MSME-00376,A,Full,not_applicable
MSME-00377,C,Full,reliable
MSME-00378,A,Full,not_applicable
MSME-00379,A,Full,not_applicable
MSME-00380,C,Full,reliable
MSME-00381,A,Full,not_applicable
MSME-00382,C,Full,reliable
MSME-00383,C,Full,reliable
MSME-00384,A,Full,not_applicable
MSME-00385,A,Full,not_applicable
MSME-00386,C,Partial,reliable
MSME-00387,C,Full,reliable
MSME-00388,C,Partial,reliable
MSME-00389,A,Full,not_applicable
MSME-00390,C,Full,reliable
MSME-00391,C,Full,reliable
MSME-00392,A,Full,not_applicable
MSME-00393,A,Thin,not_applicable
MSME-00394,C,Full,reliable
MSME-00395,A,Thin,not_applicable
MSME-00396,A,Full,not_applicable
MSME-00397,C,Full,reliable
MSME-00398,A,Full,not_applicable
MSME-00399,A,Full,not_applicable
MSME-00400,A,Full,not_applicable
