borrower_id,liquidity_cash_flow,repayment_credit_behavior,revenue_growth_signal,operational_stability,compliance_discipline,concentration_risk
MSME-00190,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00191,available,available,available,available,available,not_computable_in_prototype
MSME-00192,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00193,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00194,available,available,available,available,available,not_computable_in_prototype
MSME-00195,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00196,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00197,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00198,available,available,available,available,available,not_computable_in_prototype
MSME-00199,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00200,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00201,available,available,available,available,available,not_computable_in_prototype
MSME-00202,available,available,available,available,available,not_computable_in_prototype
MSME-00203,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00204,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00205,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00206,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00207,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00208,available,available,available,available,available,not_computable_in_prototype
MSME-00209,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00210,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00211,available,available,available,available,available,not_computable_in_prototype
MSME-00212,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00213,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00214,available,available,available,available,available,not_computable_in_prototype
MSME-00215,available,available,available,available,available,not_computable_in_prototype
MSME-00216,available,available,available,available,available,not_computable_in_prototype
MSME-00217,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00218,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00219,available,available,available,available,available,not_computable_in_prototype
MSME-00220,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00221,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00222,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00223,available,available,available,available,available,not_computable_in_prototype
MSME-00224,available,available,available,available,available,not_computable_in_prototype
MSME-00225,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00226,available,available,available,available,available,not_computable_in_prototype
MSME-00227,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00228,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00229,available,available,available,available,available,not_computable_in_prototype
MSME-00230,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00231,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00232,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00233,available,available,available,available,available,not_computable_in_prototype
MSME-00234,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00235,available,available,available,available,available,not_computable_in_prototype
MSME-00236,available,available,available,available,available,not_computable_in_prototype
MSME-00237,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00238,available,available,available,available,available,not_computable_in_prototype
MSME-00239,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00240,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00241,available,available,available,available,available,not_computable_in_prototype
MSME-00242,available,available,available,available,available,not_computable_in_prototype
MSME-00243,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00244,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00245,available,available,available,available,available,not_computable_in_prototype
MSME-00246,available,available,available,available,available,not_computable_in_prototype
MSME-00247,available,available,available,available,available,not_computable_in_prototype
MSME-00248,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00249,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00250,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00251,available,available,available,available,available,not_computable_in_prototype
MSME-00252,available,available,available,available,available,not_computable_in_prototype
MSME-00253,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00254,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00255,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00256,available,available,available,available,available,not_computable_in_prototype
MSME-00257,available,available,available,available,available,not_computable_in_prototype
MSME-00258,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00259,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00260,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00261,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00262,available,available,available,available,available,not_computable_in_prototype
MSME-00263,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00264,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00265,available,available,available,available,available,not_computable_in_prototype
MSME-00266,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00267,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00268,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00269,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00270,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00271,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00272,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00273,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00274,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00275,available,available,available,available,available,not_computable_in_prototype
MSME-00276,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00277,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00278,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00279,available,available,available,available,available,not_computable_in_prototype
MSME-00280,available,available,available,available,available,not_computable_in_prototype
MSME-00281,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00282,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00283,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00284,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00285,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00286,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00287,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00288,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00289,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00290,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00291,available,available,available,available,available,not_computable_in_prototype
MSME-00292,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00293,available,available,available,available,available,not_computable_in_prototype
MSME-00294,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00295,available,available,available,available,available,not_computable_in_prototype
MSME-00296,available,available,available,available,available,not_computable_in_prototype
MSME-00297,available,available,available,available,available,not_computable_in_prototype
MSME-00298,available,available,available,available,available,not_computable_in_prototype
MSME-00299,available,available,available,available,available,not_computable_in_prototype
MSME-00300,available,available,available,available,available,not_computable_in_prototype
MSME-00301,available,available,available,available,available,not_computable_in_prototype
MSME-00302,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00303,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00304,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00305,available,available,available,available,available,not_computable_in_prototype
MSME-00306,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00307,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00308,available,available,available,available,available,not_computable_in_prototype
MSME-00309,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00310,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00311,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00312,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00313,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00314,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00315,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00316,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00317,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00318,available,available,available,available,available,not_computable_in_prototype
MSME-00319,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00320,available,available,available,available,available,not_computable_in_prototype
MSME-00321,available,available,available,available,available,not_computable_in_prototype
MSME-00322,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00323,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00324,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00325,available,available,available,available,available,not_computable_in_prototype
MSME-00326,available,available,available,available,available,not_computable_in_prototype
MSME-00327,available,available,available,available,available,not_computable_in_prototype
MSME-00328,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00329,available,available,available,available,available,not_computable_in_prototype
MSME-00330,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00331,available,available,available,available,available,not_computable_in_prototype
MSME-00332,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00333,available,available,available,available,available,not_computable_in_prototype
MSME-00334,available,available,available,available,available,not_computable_in_prototype
MSME-00335,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00336,available,available,available,available,available,not_computable_in_prototype
MSME-00337,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00338,available,available,available,available,available,not_computable_in_prototype
MSME-00339,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00340,available,available,available,available,available,not_computable_in_prototype
MSME-00341,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00342,available,available,available,available,available,not_computable_in_prototype
MSME-00343,available,available,available,available,available,not_computable_in_prototype
MSME-00344,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00345,available,available,available,available,available,not_computable_in_prototype
MSME-00346,available,available,available,available,available,not_computable_in_prototype
MSME-00347,available,available,available,available,available,not_computable_in_prototype
MSME-00348,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00349,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00350,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00351,available,available,available,available,available,not_computable_in_prototype
MSME-00352,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00353,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00354,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00355,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00356,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00357,available,available,available,available,available,not_computable_in_prototype
MSME-00358,available,available,available,available,available,not_computable_in_prototype
MSME-00359,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00360,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00361,available,available,available,available,available,not_computable_in_prototype
MSME-00362,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00363,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00364,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00365,available,available,available,available,available,not_computable_in_prototype
MSME-00366,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00367,available,available,available,available,available,not_computable_in_prototype
MSME-00368,available,available,available,available,available,not_computable_in_prototype
MSME-00369,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00370,available,available,available,available,available,not_computable_in_prototype
MSME-00371,available,available,available,available,available,not_computable_in_prototype
MSME-00372,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00373,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00374,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00375,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00376,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00377,available,available,available,available,available,not_computable_in_prototype
MSME-00378,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00379,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00380,available,available,available,available,available,not_computable_in_prototype
MSME-00381,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00382,available,available,available,available,available,not_computable_in_prototype
MSME-00383,available,available,available,available,available,not_computable_in_prototype
MSME-00384,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00385,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00386,available,available,available,available,available,not_computable_in_prototype
MSME-00387,available,available,available,available,available,not_computable_in_prototype
MSME-00388,available,available,available,available,available,not_computable_in_prototype
MSME-00389,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00390,available,available,available,available,available,not_computable_in_prototype
MSME-00391,available,available,available,available,available,not_computable_in_prototype
MSME-00392,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00393,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00394,available,available,available,available,available,not_computable_in_prototype
MSME-00395,insufficient_data,insufficient_data,insufficient_data,not_applicable,insufficient_data,not_computable_in_prototype
MSME-00396,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00397,available,available,available,available,available,not_computable_in_prototype
MSME-00398,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00399,available,available,available,not_applicable,available,not_computable_in_prototype
MSME-00400,available,available,available,not_applicable,available,not_computable_in_prototype
