borrower_id,period,employee_count,wage_bill_inr,employer_contribution_inr,employee_contribution_inr,due_date,remittance_date,source,ingested_at,record_id,consent_id
MSME-00001,2025-11,51,856830.92,51409.86,51409.86,2025-12-15,2025-12-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,27ab9ce9-b41d-4d44-9e93-04d21abf3ef6,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2025-12,50,988714.51,59322.87,59322.87,2026-01-15,2026-01-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,6ecf91dc-0dcf-4f6f-be66-928f531ec508,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2026-01,51,837933.76,50276.03,50276.03,2026-02-15,2026-02-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,d0959856-19c8-40a5-b93c-6548523a7894,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2026-02,51,971010.32,58260.62,58260.62,2026-03-15,2026-03-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,b3e3ace9-ef2b-452f-af97-ec693ba89fdb,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2026-03,50,956681.58,57400.89,57400.89,2026-04-15,2026-04-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,3acbebf3-5b61-4b4e-a24d-4a4737962b17,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2026-04,49,942235.42,56534.13,56534.13,2026-05-15,2026-05-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,d775b176-a8c1-4664-802a-76d6373be69d,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2026-05,50,837645.87,50258.75,50258.75,2026-06-15,2026-06-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,674491cf-afff-412e-a391-d56de26c1ffe,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00001,2026-06,50,909943.29,54596.6,54596.6,2026-07-15,2026-07-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,93925b3d-67d5-490a-9062-c09a5a4d165c,8ae7df17-3a69-4bba-8f9d-fd8e607ffc68
MSME-00003,2024-07,6,117364.56,7041.87,7041.87,2024-08-15,2024-08-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,cae8fa59-b4a8-4866-b975-72ef05a5f99f,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2024-08,6,105502.01,6330.12,6330.12,2024-09-15,2024-09-30,epfo_contributions,2026-07-07T17:29:40.342070+00:00,0fdfe5f0-601b-4c74-8f10-4e5191369243,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2024-09,6,107086.43,6425.19,6425.19,2024-10-15,2024-10-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,aaaa089b-2f7d-41a4-9643-b92aa6931169,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2024-10,6,114077.6,6844.66,6844.66,2024-11-15,2024-11-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,ed88b354-9324-406b-a74c-9c94122c091d,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2024-11,6,105881.89,6352.91,6352.91,2024-12-15,2024-12-27,epfo_contributions,2026-07-07T17:29:40.342070+00:00,f0d8cae7-5d5c-4b8c-9060-d41962c8ddb0,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2024-12,6,103915.16,6234.91,6234.91,2025-01-15,2025-01-27,epfo_contributions,2026-07-07T17:29:40.342070+00:00,76a08e86-d0f3-4da4-b194-ea0ec0219e69,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2025-01,6,112921.33,6775.28,6775.28,2025-02-15,2025-02-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,5ae70856-ad69-4247-830a-8dbc22013f61,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2025-02,6,116667.29,7000.04,7000.04,2025-03-15,2025-03-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,3b4f0e10-9a55-4a0d-81ce-78beac1c86c9,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2025-03,6,107029.87,6421.79,6421.79,2025-04-15,2025-04-28,epfo_contributions,2026-07-07T17:29:40.342070+00:00,9a8b8ec6-1a0a-48ed-a630-c35cd5d398b1,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2025-04,6,104438.19,6266.29,6266.29,2025-05-15,2025-05-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,b8e1268c-4924-484b-b84a-058d8e09f59f,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2025-05,6,100730.34,6043.82,6043.82,2025-06-15,2025-06-30,epfo_contributions,2026-07-07T17:29:40.342070+00:00,f398b638-a998-4d66-a182-a9178d4e8cde,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2025-06,6,108118.89,6487.13,6487.13,2025-07-15,2025-08-05,epfo_contributions,2026-07-07T17:29:40.342070+00:00,ac26abe3-1e6b-4b5f-8440-c71ce859d2af,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2025-07,6,102426.32,6145.58,6145.58,2025-08-15,2025-09-02,epfo_contributions,2026-07-07T17:29:40.342070+00:00,87ce6367-8746-4931-8f9a-f99db91d3f63,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2025-08,6,110038.74,6602.32,6602.32,2025-09-15,2025-09-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,ccaf9a31-152c-4d89-981f-3c431b9023d3,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2025-09,6,102185.98,6131.16,6131.16,2025-10-15,2025-10-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,33d5524a-25a0-4b2d-a62d-5a1bf167cd83,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2025-10,6,98632.19,5917.93,5917.93,2025-11-15,2025-11-26,epfo_contributions,2026-07-07T17:29:40.342070+00:00,6cf4a17d-a1a4-400f-addf-9be220da5d85,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2025-11,6,105983.74,6359.02,6359.02,2025-12-15,2025-12-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,fb6cdc6f-3916-4cbe-b8a2-f34f73d5f4bb,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2025-12,6,98934.98,5936.1,5936.1,2026-01-15,2026-01-28,epfo_contributions,2026-07-07T17:29:40.342070+00:00,f23e0fbc-8c1d-4ff8-850b-bf0926503b2b,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2026-01,6,102107.3,6126.44,6126.44,2026-02-15,2026-02-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,ec42554d-c860-4016-9899-1f09fd488453,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2026-02,6,105963.7,6357.82,6357.82,2026-03-15,2026-03-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,c4a843a6-9668-4d13-bd19-701995f5da00,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2026-03,6,110391.26,6623.48,6623.48,2026-04-15,2026-04-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,cda5eaf2-1c31-440f-be9c-a0ae997feff2,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2026-04,6,102653.49,6159.21,6159.21,2026-05-15,2026-05-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,caf4d459-fa63-48ec-bc0f-caf607ac98b8,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2026-05,6,100097.9,6005.87,6005.87,2026-06-15,2026-06-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,b9309367-5e0e-4acb-b727-542eb588deb6,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00003,2026-06,6,98194.12,5891.65,5891.65,2026-07-15,2026-07-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,120fc5b9-a1ce-4d9e-9425-04674b82daa2,e9fb08c8-76e2-4ac3-9782-3b903ada810a
MSME-00004,2024-07,9,168314.54,10098.87,10098.87,2024-08-15,2024-08-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,80152b66-37e3-4d24-b76e-2424765e69d1,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2024-08,9,159267.8,9556.07,9556.07,2024-09-15,2024-09-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,6a4479f6-6594-4d70-9519-527660751f7d,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2024-09,9,173245.77,10394.75,10394.75,2024-10-15,2024-10-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,a7f0c2ea-a666-4602-9a77-464ba3ea7c51,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2024-10,9,175503.4,10530.2,10530.2,2024-11-15,2024-11-20,epfo_contributions,2026-07-07T17:29:40.342070+00:00,1a578872-b249-4e7e-9fb5-b9abff04a8d5,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2024-11,9,176203.58,10572.21,10572.21,2024-12-15,2024-12-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,4a67b0c9-cbe6-435b-9030-7d563e8bd887,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2024-12,9,176288.38,10577.3,10577.3,2025-01-15,2025-01-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,eec5a0ef-11f9-4a51-bede-089e7548bdef,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2025-01,9,170920.52,10255.23,10255.23,2025-02-15,2025-02-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,03414c9e-b855-4abb-9d93-8b19ea0106fd,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2025-02,9,170743.52,10244.61,10244.61,2025-03-15,2025-03-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,3a6abeaf-7044-4e18-891d-2578e250e164,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2025-03,9,151806.17,9108.37,9108.37,2025-04-15,2025-04-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,0e828ab1-4756-4341-96e5-e38eae6f4c89,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2025-04,9,149063.66,8943.82,8943.82,2025-05-15,2025-05-19,epfo_contributions,2026-07-07T17:29:40.342070+00:00,8ae2be1c-b3d6-484a-b558-42a78497978e,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2025-05,9,174805.87,10488.35,10488.35,2025-06-15,2025-06-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,f32bf3b5-9e65-4c29-9386-7e116b86614a,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2025-06,9,155093.59,9305.62,9305.62,2025-07-15,2025-07-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,2b219937-4765-4188-a0c9-02725fbce595,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2025-07,9,163055.04,9783.3,9783.3,2025-08-15,2025-08-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,f4343304-ae56-47fb-860e-6bb6230aeb19,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2025-08,9,174117.02,10447.02,10447.02,2025-09-15,2025-09-19,epfo_contributions,2026-07-07T17:29:40.342070+00:00,75bfe996-1b55-42b3-bb58-6888bd7119c4,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2025-09,9,157930.67,9475.84,9475.84,2025-10-15,2025-10-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,18908291-eb92-4437-a8c5-485407a03a98,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2025-10,9,163084.56,9785.07,9785.07,2025-11-15,2025-11-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,454c0b35-4ed8-4cf1-98ce-68991b5f018c,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2025-11,9,151155.05,9069.3,9069.3,2025-12-15,2025-12-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,5dab4cf2-7f22-4748-a94e-36e9660c8fac,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2025-12,9,158034.78,9482.09,9482.09,2026-01-15,2026-01-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,afc39974-0d9c-4e93-968b-1d2d34a1fd37,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2026-01,9,150717.32,9043.04,9043.04,2026-02-15,2026-02-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,a72f6e83-2988-43d8-9c2a-05507f43119c,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2026-02,9,149103.34,8946.2,8946.2,2026-03-15,2026-03-19,epfo_contributions,2026-07-07T17:29:40.342070+00:00,f97bf7ba-38b2-4d2b-98d2-b3d68f6172dc,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2026-03,9,153640.48,9218.43,9218.43,2026-04-15,2026-04-22,epfo_contributions,2026-07-07T17:29:40.342070+00:00,ceb99a01-ac17-4a39-9615-3029190727e9,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2026-04,9,148372.23,8902.33,8902.33,2026-05-15,2026-05-19,epfo_contributions,2026-07-07T17:29:40.342070+00:00,64010888-89bb-410a-84bb-e536f440899d,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2026-05,9,170719.25,10243.15,10243.15,2026-06-15,2026-06-26,epfo_contributions,2026-07-07T17:29:40.342070+00:00,df915bf7-84f0-481e-b3eb-a9af955ee413,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00004,2026-06,9,148505.33,8910.32,8910.32,2026-07-15,2026-07-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,e7664fb3-36f0-44c6-af9a-13d37b99662f,5f19457e-d0fe-4cb0-b5e9-1fec8a54f027
MSME-00006,2024-07,57,1020528.0,61231.68,61231.68,2024-08-15,2024-08-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,4dc40cf8-acfa-4717-987f-28f0e3d8dd62,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2024-08,58,939905.24,56394.31,56394.31,2024-09-15,2024-09-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,faab050f-a128-429f-9b4f-8206e65bc50a,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2024-09,62,1218720.85,73123.25,73123.25,2024-10-15,2024-10-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,c9747de7-7f04-4ac7-a1f6-4739f9f85711,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2024-10,62,1025416.83,61525.01,61525.01,2024-11-15,2024-11-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,a518ccf0-afc9-431e-9846-b924d72205a6,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2024-11,64,1137390.73,68243.44,68243.44,2024-12-15,2024-12-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,a4d1ab1f-bb07-41d7-b4ba-dddffd3aa2fb,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2024-12,65,1279460.4,76767.62,76767.62,2025-01-15,2025-01-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,f32cc011-2334-4779-a949-34e6978c7bae,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2025-01,66,1306443.88,78386.63,78386.63,2025-02-15,2025-02-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,c5cf4dd1-e075-4417-b4c1-eebbb4023845,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2025-02,63,1135127.75,68107.66,68107.66,2025-03-15,2025-03-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,0a97f632-d9dc-4be5-9805-fa996ad63ced,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2025-03,63,1114025.6,66841.54,66841.54,2025-04-15,2025-04-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,234bc8d0-9e63-409e-8a87-d318e884065a,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2025-04,66,1224003.52,73440.21,73440.21,2025-05-15,2025-05-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,314fdd3c-99cb-43fb-be6a-ff9cf18f0ac1,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2025-05,63,1104684.13,66281.05,66281.05,2025-06-15,2025-06-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,9f83cef5-3b1e-4b65-ba40-a16ce38e7d1f,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2025-06,64,1231067.6,73864.06,73864.06,2025-07-15,2025-07-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,0ec3ea67-27ff-4072-a4d6-6298ed792b20,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2025-07,64,1202549.12,72152.95,72152.95,2025-08-15,2025-08-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,82d88c2c-f989-47a0-b9df-8de31ad7bd78,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2025-08,65,1061812.49,63708.75,63708.75,2025-09-15,2025-09-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,34fc6715-e9d0-46f2-9286-64f43c6afde4,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2025-09,65,1124863.48,67491.81,67491.81,2025-10-15,2025-10-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,d6c03652-193b-44a8-86bc-2d8198e68a86,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2025-10,64,1255913.53,75354.81,75354.81,2025-11-15,2025-11-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,a80cf6af-a929-4a3f-b404-3bb451e4a49d,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2025-11,65,1272771.31,76366.28,76366.28,2025-12-15,2025-12-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,a3d5474d-1042-486f-9528-9808926d2b4b,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2025-12,66,1151959.17,69117.55,69117.55,2026-01-15,2026-01-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,70d1136d-a2df-4548-b872-dc9134887708,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2026-01,64,1251192.43,75071.55,75071.55,2026-02-15,2026-02-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,afb71de9-7ba8-4189-ad23-ef75069c5b95,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2026-02,62,1158105.25,69486.32,69486.32,2026-03-15,2026-03-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,fb03d4f7-5c00-404e-800f-71bfce35ae0f,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2026-03,62,1050988.6,63059.32,63059.32,2026-04-15,2026-04-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,83b26f85-1131-4608-9918-4b251799673f,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2026-04,61,1150068.73,69004.12,69004.12,2026-05-15,2026-05-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,a503e841-fbc1-4b63-a398-e1269797b8f0,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2026-05,60,1154087.58,69245.25,69245.25,2026-06-15,2026-06-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,5ecc9304-5128-4092-ad25-32a71c19cb2b,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00006,2026-06,60,1162080.02,69724.8,69724.8,2026-07-15,2026-07-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,5cec5e66-632c-4172-90b6-5e74e9902452,b5faa7fe-6ec5-405d-8575-1aef9fc84311
MSME-00007,2024-07,16,292843.98,17570.64,17570.64,2024-08-15,2024-08-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,10e66b68-26ed-4071-9a02-85c4e75b4879,bead99c0-d9cb-4207-8f82-b39f928ea061
MSME-00007,2024-08,16,278706.25,16722.38,16722.38,2024-09-15,2024-09-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,9e182da2-cb65-4d75-88d0-7f9be13aba83,bead99c0-d9cb-4207-8f82-b39f928ea061
MSME-00007,2024-09,16,275962.7,16557.76,16557.76,2024-10-15,2024-10-15,epfo_contributions,2026-07-07T17:29:40.342070+00:00,f3d86eed-7b79-4899-96c9-1b2def9bbeff,bead99c0-d9cb-4207-8f82-b39f928ea061
MSME-00007,2024-10,16,260436.0,15626.16,15626.16,2024-11-15,2024-11-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,efd201bc-e6ac-4660-bdc5-87193355e83f,bead99c0-d9cb-4207-8f82-b39f928ea061
MSME-00007,2024-11,17,277470.38,16648.22,16648.22,2024-12-15,2024-12-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,619bbe8d-3598-43c0-8438-7fba4046c400,bead99c0-d9cb-4207-8f82-b39f928ea061
MSME-00007,2024-12,17,292654.68,17559.28,17559.28,2025-01-15,2025-01-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,03c12c27-cbec-4f8d-bebe-fc43ac41e5ea,bead99c0-d9cb-4207-8f82-b39f928ea061
MSME-00007,2025-01,17,332431.76,19945.91,19945.91,2025-02-15,2025-02-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,aee04878-8714-4ecf-9ba6-25e6dcd2fd87,bead99c0-d9cb-4207-8f82-b39f928ea061
MSME-00007,2025-02,17,284151.82,17049.11,17049.11,2025-03-15,2025-03-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,b61bb53d-2119-4664-b150-c3c574908046,bead99c0-d9cb-4207-8f82-b39f928ea061
MSME-00007,2025-03,17,285625.39,17137.52,17137.52,2025-04-15,2025-04-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,34fce34a-48de-48ba-ae61-3a1152e8265c,bead99c0-d9cb-4207-8f82-b39f928ea061
MSME-00007,2025-04,17,321146.65,19268.8,19268.8,2025-05-15,,epfo_contributions,2026-07-07T17:29:40.342070+00:00,af472a54-ae43-487d-9129-d138bd1c81c8,bead99c0-d9cb-4207-8f82-b39f928ea061
MSME-00007,2025-05,17,308527.68,18511.66,18511.66,2025-06-15,2025-06-21,epfo_contributions,2026-07-07T17:29:40.342070+00:00,f9765353-7b43-4b3d-bfe4-8ccd3b6b89cf,bead99c0-d9cb-4207-8f82-b39f928ea061
MSME-00007,2025-06,17,312188.94,18731.34,18731.34,2025-07-15,2025-07-14,epfo_contributions,2026-07-07T17:29:40.342070+00:00,fcaa1a99-cfa7-4b3d-a24a-33b4aabf379a,bead99c0-d9cb-4207-8f82-b39f928ea061
MSME-00007,2025-07,17,331173.5,19870.41,19870.41,2025-08-15,2025-08-13,epfo_contributions,2026-07-07T17:29:40.342070+00:00,60370967-efe5-4a11-91bc-9423c7372ca9,bead99c0-d9cb-4207-8f82-b39f928ea061
