borrower_id,capacity_top_positive,capacity_top_negative,capacity_driver_note,character_top_positive,character_top_negative,character_driver_note,capital_top_positive,capital_top_negative,capital_driver_note,compliance_top_positive,compliance_top_negative,compliance_driver_note,collateral_top_positive,collateral_top_negative,collateral_driver_note
MSME-00058,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00059,Cash flow vs. declared turnover match,Customer concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00060,Customer concentration,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00061,Current ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00062,Debt service coverage ratio,Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Bank covenant compliance,Rent payment timeliness,,,,no data available for this dimension
MSME-00063,Revenue CAGR (3yr),Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Salary payment timeliness,,,,no data available for this dimension
MSME-00064,Interest coverage ratio,Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Bank covenant compliance,,,,no data available for this dimension
MSME-00065,Current ratio,Cash flow vs. declared turnover match,,Bureau score,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Salary payment timeliness,,,,no data available for this dimension
MSME-00066,Revenue CAGR (3yr),Projected revenue growth,,Other legal dispute status,Civil suit status,,,,no data available for this dimension,Salary payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00067,Customer concentration,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Salary payment timeliness,,,,no data available for this dimension
MSME-00068,Debt service coverage ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00069,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Bank covenant compliance,GST on-time filing ratio,,,,no data available for this dimension
MSME-00070,Projected revenue growth,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Salary payment timeliness,,,,no data available for this dimension
MSME-00071,Debt service coverage ratio,Projected revenue growth,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00072,Leverage (debt / net worth),Supplier concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00073,Customer concentration,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,,no data available for this dimension,Rent payment timeliness,Utility payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00074,Projected revenue growth,Revenue CAGR (3yr),,Bureau score,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00075,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,GST on-time filing ratio,,,,no data available for this dimension
MSME-00076,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Salary payment timeliness,Utility payment timeliness,,,,no data available for this dimension
MSME-00077,Projected revenue growth,Cash flow vs. declared turnover match,,Bureau score,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Utility payment timeliness,,,,no data available for this dimension
MSME-00078,Debt service coverage ratio,Cash flow vs. declared turnover match,,Bureau score,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00079,Interest coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,Bank covenant compliance,,,,no data available for this dimension
MSME-00080,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,,no data available for this dimension,Bank covenant compliance,Utility payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00081,Debt service coverage ratio,Supplier concentration,,Civil suit status,Bureau score,,,,no data available for this dimension,GST on-time filing ratio,EPFO on-time remittance ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00082,Revenue CAGR (3yr),Projected revenue growth,,Civil suit status,Bureau score,,,,no data available for this dimension,Salary payment timeliness,Utility payment timeliness,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00083,Debt service coverage ratio,Leverage (debt / net worth),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Salary payment timeliness,Bank covenant compliance,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00084,Debt service coverage ratio,Customer concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00085,Projected revenue growth,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Salary payment timeliness,,,,no data available for this dimension
MSME-00086,Debt service coverage ratio,Supplier concentration,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00087,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Bank covenant compliance,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00088,Revenue CAGR (3yr),Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00089,Projected revenue growth,Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Rent payment timeliness,Utility payment timeliness,,,,no data available for this dimension
MSME-00090,Debt service coverage ratio,Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00091,Current ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00092,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Other legal dispute status,,,,no data available for this dimension,Salary payment timeliness,Utility payment timeliness,,,,no data available for this dimension
MSME-00093,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00094,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00095,Customer concentration,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00096,Leverage (debt / net worth),Cash flow vs. declared turnover match,,Civil suit status,Other legal dispute status,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,EPFO on-time remittance ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00097,Projected revenue growth,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Rent payment timeliness,,,,no data available for this dimension
MSME-00098,Debt service coverage ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Bank covenant compliance,Rent payment timeliness,,,,no data available for this dimension
MSME-00099,Projected revenue growth,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Salary payment timeliness,,,,no data available for this dimension
MSME-00100,Debt service coverage ratio,Projected revenue growth,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,Salary payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00101,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,GST on-time filing ratio,,,Collateral quality,only one scoring feature available in this prototype - no comparison possible
MSME-00102,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,EPFO on-time remittance ratio,,,,no data available for this dimension
MSME-00103,Debt service coverage ratio,Supplier concentration,,Civil suit status,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00104,Projected revenue growth,Revenue CAGR (3yr),,Civil suit status,Other legal dispute status,,,,no data available for this dimension,GST on-time filing ratio,Salary payment timeliness,,,,no data available for this dimension
MSME-00105,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,EPFO on-time remittance ratio,,,,no data available for this dimension
MSME-00106,Debt service coverage ratio,Projected revenue growth,,Civil suit status,Bureau score,,,,no data available for this dimension,Bank covenant compliance,Salary payment timeliness,,,,no data available for this dimension
MSME-00107,Current ratio,Cash flow vs. declared turnover match,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,Rent payment timeliness,,,,no data available for this dimension
MSME-00108,Debt service coverage ratio,Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,Rent payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00109,Cash flow vs. declared turnover match,Supplier concentration,,Bureau score,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00110,Debt service coverage ratio,Supplier concentration,,Bureau score,Owner's time in business,,Net worth / total assets,,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,GST on-time filing ratio,,,,no data available for this dimension
MSME-00111,Debt service coverage ratio,Revenue CAGR (3yr),,Other legal dispute status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,Salary payment timeliness,,,,no data available for this dimension
MSME-00112,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00113,Cash flow vs. declared turnover match,Projected revenue growth,,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00114,Cash flow vs. declared turnover match,Debt service coverage ratio,,Civil suit status,Cheque bounce rate,,,,no data available for this dimension,GST on-time filing ratio,Utility payment timeliness,,,,no data available for this dimension
MSME-00115,Current ratio,Leverage (debt / net worth),,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Salary payment timeliness,Rent payment timeliness,,,,no data available for this dimension
MSME-00116,Interest coverage ratio,Revenue CAGR (3yr),,Civil suit status,Cheque bounce rate,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Bank covenant compliance,GST on-time filing ratio,,,,no data available for this dimension
MSME-00117,Debt service coverage ratio,Customer concentration,,Civil suit status,Bureau score,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,GST on-time filing ratio,Utility payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00118,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Bank covenant compliance,Salary payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00119,Debt service coverage ratio,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Bank covenant compliance,Salary payment timeliness,,,,no data available for this dimension
MSME-00120,Revenue CAGR (3yr),Projected revenue growth,,Civil suit status,Bureau score,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00121,Revenue CAGR (3yr),Supplier concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00122,Current ratio,Leverage (debt / net worth),,Civil suit status,Other legal dispute status,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,EPFO on-time remittance ratio,GST on-time filing ratio,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00123,Customer concentration,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
MSME-00124,Cash flow vs. declared turnover match,Projected revenue growth,,Civil suit status,Cheque bounce rate,,,,no data available for this dimension,Utility payment timeliness,Rent payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00125,Projected revenue growth,Customer concentration,,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00126,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Salary payment timeliness,,,,no data available for this dimension
MSME-00127,Projected revenue growth,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,GST on-time filing ratio,Rent payment timeliness,,,,no data available for this dimension
MSME-00128,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Bureau score,,,,no data available for this dimension,Rent payment timeliness,Salary payment timeliness,,,,no data available for this dimension
MSME-00129,Leverage (debt / net worth),Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,Net worth / total assets,only one scoring feature available in this prototype - no comparison possible,Rent payment timeliness,Utility payment timeliness,,Collateral quality,,only one scoring feature available in this prototype - no comparison possible
MSME-00130,Cash flow vs. declared turnover match,Revenue CAGR (3yr),,Civil suit status,Owner's time in business,,,,no data available for this dimension,Utility payment timeliness,GST on-time filing ratio,,,,no data available for this dimension
