borrower_id,tier,sector,has_epfo,is_gst_registered,balance_sheet_available,has_bureau_record,has_existing_loan,has_collateral,current_ratio,leverage_ratio,dscr,interest_coverage_ratio,cash_flow_match_ratio,revenue_cagr_3yr,projected_revenue_growth_rate,customer_concentration_pct,supplier_concentration_pct,turnover_bank_ratio,gst_bank_consistency_flag,bureau_score,credit_limit_utilization_pct,bureau_report_date,owner_time_in_business_years,civil_suit_years_since_active,other_legal_dispute_years_since_active,cheque_bounce_rate,cheque_bounce_count_annualized,net_worth_to_assets_ratio,collateral_type,construction_status,estimated_value_inr,compliance_window_months,utility_payment_timeliness,rent_payment_timeliness,salary_payment_timeliness,gst_ontime_filing_ratio,gst_missed_filing_rate,gst_avg_filing_delay_days,gst_compliance_window_periods,epfo_ontime_remittance_ratio,epfo_compliance_window_periods,covenant_compliance_flag,capacity__current_ratio_status,capacity__leverage_ratio_status,capacity__dscr_status,capacity__interest_coverage_ratio_status,capacity__cash_flow_match_ratio_status,capacity__revenue_cagr_3yr_status,capacity__projected_revenue_growth_rate_status,capacity__customer_concentration_pct_status,capacity__supplier_concentration_pct_status,character__bureau_score_status,character__civil_suit_years_since_active_status,character__other_legal_dispute_years_since_active_status,character__owner_time_in_business_years_status,character__cheque_bounce_rate_status,capital__net_worth_to_assets_ratio_status,compliance__covenant_compliance_flag_status,compliance__gst_ontime_filing_ratio_status,compliance__epfo_ontime_remittance_ratio_status,compliance__utility_payment_timeliness_status,compliance__rent_payment_timeliness_status,compliance__salary_payment_timeliness_status,collateral__collateral_quality_score_status
MSME-00011,A,services,False,True,True,True,False,True,2.069,0.502,,,100.0,0.22,0.1159,43.71,40.04,1.5081855630278365,consistent,750.0,69.2,2026-05-20,4.4,100.0,100.0,0.0041,15.0,0.4736,commercial,constructed,98141974.9,6,1.0,1.0,1.0,1.0,0.0,-1.33,6.0,,,,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,available
MSME-00012,C,services,True,True,True,True,False,True,2.313,0.203,,,100.0,0.08,0.1044,53.2,48.71,1.0143923885723645,consistent,661.0,34.7,2026-06-25,14.5,100.0,100.0,0.0044,16.0,0.5078,industrial,constructed,298152178.91,6,1.0,1.0,1.0,0.833,0.0,-0.83,6.0,1.0,6.0,,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00013,C,retail,True,True,False,True,True,True,,,0.765,2.589,100.0,-0.46,-0.0783,56.08,30.37,2.5146778750359684,bank_inflow_much_higher_than_declared,581.0,91.1,2026-05-21,15.2,100.0,100.0,0.0428,79.0,,residential,constructed,124849441.74,6,0.5,0.5,0.5,0.5,0.0,9.83,6.0,0.5,6.0,,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,available
MSME-00014,C,trading,True,True,True,True,False,True,1.844,3.134,,,100.0,-0.06,0.0125,39.35,31.07,1.4326266363136035,consistent,631.0,58.8,2026-06-11,9.0,100.0,100.0,0.017,41.0,0.3041,industrial,constructed,71480304.26,6,0.667,1.0,0.833,1.0,0.0,-0.83,6.0,0.667,6.0,,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00015,A,retail,False,True,True,False,False,True,2.607,0.534,,,79.97,,0.1203,37.73,38.16,0.799734118915385,consistent,,,,2.9,100.0,100.0,0.0,0.0,0.3604,residential,bare_plot,68544634.96,2,1.0,0.5,0.5,1.0,0.0,-1.33,6.0,,,,available,available,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,not_applicable,available,available,available,insufficient_data,available,not_applicable,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,available
MSME-00016,A,retail,False,True,False,False,False,True,,,,,100.0,-0.51,-0.0938,30.12,48.08,6.209493892233273,bank_inflow_much_higher_than_declared,,,,8.3,100.0,100.0,0.0409,75.0,,residential,constructed,85216984.74,6,0.667,0.833,0.5,0.5,0.0,13.67,6.0,,,,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00017,A,retail,False,True,False,False,True,True,,,0.666,6.279,100.0,-0.49,-0.0913,40.21,31.03,4.363935456347296,bank_inflow_much_higher_than_declared,,,,1.7,100.0,100.0,0.0417,58.0,,residential,bare_plot,42530679.35,6,0.333,0.333,0.5,0.167,0.167,20.8,6.0,,,,not_applicable,not_applicable,available,available,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00018,A,services,False,True,True,True,False,False,2.106,2.436,,,100.0,-0.19,0.0121,34.14,37.43,2.349108200675902,bank_inflow_much_higher_than_declared,733.0,59.4,2026-06-16,8.7,100.0,0.0,0.0201,48.0,0.2557,,,,6,0.833,0.833,0.667,0.667,0.0,1.0,6.0,,,,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00019,C,retail,True,True,True,True,False,True,1.277,1.1,,,100.0,0.04,0.0122,30.56,37.28,1.80921884007946,consistent,636.0,64.2,2026-05-05,7.1,100.0,100.0,0.0156,32.0,0.4299,residential,constructed,52747115.96,6,0.667,0.667,0.667,0.667,0.0,2.17,6.0,0.833,6.0,,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00020,C,trading,True,True,True,True,True,True,2.707,0.514,2.486,10.0,100.0,-0.08,0.1154,39.95,37.57,1.3125158620556854,consistent,757.0,56.3,2026-05-05,18.5,100.0,100.0,0.0034,6.0,0.3855,residential,bare_plot,28140555.49,6,1.0,1.0,1.0,1.0,0.0,-1.5,6.0,1.0,6.0,1.0,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MSME-00021,C,services,True,True,True,True,False,True,1.862,0.399,,,100.0,0.28,0.1334,29.94,43.89,1.3851562938279045,consistent,736.0,48.9,2026-06-16,9.8,100.0,100.0,0.0038,13.96,0.3286,residential,constructed,45649330.57,6,1.0,0.833,0.833,0.833,0.0,-0.5,6.0,1.0,6.0,,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00022,A,retail,False,False,False,False,False,False,,,,,100.0,-0.37,0.0118,44.63,31.76,,unscoreable,,,,2.3,7.15,0.0,0.0162,13.33,,,,,6,0.833,0.833,0.5,,,,,,,,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,not_applicable
MSME-00023,C,retail,True,True,True,True,True,True,2.555,0.479,4.583,10.0,100.0,-0.09,0.1286,32.69,29.76,2.3466034880057345,consistent,752.0,46.7,2026-05-28,5.4,100.0,100.0,0.0042,14.0,0.4109,industrial,constructed,107425523.79,6,0.833,1.0,0.833,1.0,0.0,-1.17,6.0,1.0,6.0,1.0,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MSME-00024,C,retail,True,True,False,True,False,True,,,,,100.0,0.07,0.0136,31.3,42.92,1.0175297250150788,consistent,713.0,51.6,2026-06-04,3.0,100.0,100.0,0.0154,37.9,,residential,constructed,52654262.81,6,0.833,0.333,1.0,0.667,0.0,1.0,6.0,0.667,6.0,,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,available
MSME-00025,C,services,True,True,True,True,False,False,0.919,9.579,,,56.24,-0.03,-0.0879,37.13,44.29,0.5623688569977809,consistent,611.0,81.2,2026-05-21,11.3,100.0,100.0,0.0401,76.0,0.1047,,,,6,0.5,0.5,0.333,0.167,0.167,19.0,6.0,0.667,6.0,,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable
MSME-00026,A,services,False,True,False,True,False,False,,,,,40.26,0.06,0.1152,55.05,51.52,0.402644146527114,bank_inflow_much_lower_than_declared,770.0,37.6,2026-06-10,0.9,100.0,100.0,0.0,0.0,,,,,6,1.0,0.833,0.833,1.0,0.0,-1.33,6.0,,,,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00027,A,retail,False,True,False,False,False,False,,,,,100.0,0.04,0.0112,42.54,31.49,1.560181099835348,consistent,,,,1.0,100.0,100.0,0.0148,36.0,,,,,6,0.667,0.667,0.833,0.667,0.167,-0.4,6.0,,,,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00028,A,services,False,True,False,True,False,False,,,,,100.0,0.05,0.1385,30.54,42.94,1.6995243501727195,consistent,730.0,55.7,2026-06-04,2.1,100.0,100.0,0.002,6.0,,,,,6,1.0,1.0,0.833,1.0,0.0,-1.33,6.0,,,,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00029,A,retail,False,True,False,True,False,False,,,,,60.91,-0.36,-0.0889,37.04,29.5,0.6091319998181082,consistent,561.0,82.9,2026-05-18,4.3,3.1,100.0,0.0242,9.93,,,,,6,0.5,1.0,0.333,0.333,0.167,16.8,6.0,,,,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00030,C,services,True,True,True,True,False,True,1.937,0.873,,,100.0,0.22,0.1323,29.34,31.65,1.3068133159730086,consistent,786.0,45.9,2026-05-08,13.3,100.0,100.0,0.0047,14.0,0.4563,industrial,constructed,51915281.89,6,1.0,0.833,1.0,1.0,0.0,-1.0,6.0,0.833,6.0,,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00031,C,trading,True,True,True,True,True,True,1.5,7.881,3.006,10.0,74.69,0.0,0.013,40.15,55.4,0.7469478318370959,consistent,615.0,74.6,2026-06-09,12.8,100.0,100.0,0.0108,14.0,0.3205,industrial,constructed,40946413.14,6,0.667,0.667,0.833,0.667,0.0,1.67,6.0,0.5,6.0,,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00032,C,services,True,True,False,True,True,True,,,6.903,10.0,100.0,-0.15,0.0141,32.84,47.88,1.5399427152221916,consistent,661.0,69.1,2026-06-30,8.5,100.0,100.0,0.0142,22.0,,residential,constructed,48209389.94,6,0.5,0.667,1.0,0.5,0.0,2.0,6.0,0.5,6.0,,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,available
MSME-00033,A,services,False,True,True,False,False,True,2.368,0.685,,,100.0,0.05,0.1255,28.61,34.77,1.529396912747944,consistent,,,,4.2,100.0,100.0,0.0042,10.0,0.3967,residential,constructed,36283098.14,6,1.0,0.833,1.0,0.667,0.167,-1.0,6.0,,,,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,available
MSME-00034,A,services,False,True,False,True,False,False,,,,,100.0,-0.2,0.0125,32.6,42.51,2.222778165356603,consistent,657.0,65.3,2026-06-26,2.0,100.0,100.0,0.0164,31.0,,,,,6,0.667,0.333,1.0,0.167,0.0,3.67,6.0,,,,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00035,A,retail,False,True,False,True,True,False,,,10.0,10.0,88.44,0.17,0.0118,33.95,40.76,0.8844449478671406,consistent,686.0,79.8,2026-06-19,2.0,100.0,100.0,0.0102,24.0,,,,,6,0.833,0.833,0.833,0.833,0.0,0.33,6.0,,,1.0,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,not_applicable,available,available,available,not_applicable
MSME-00036,A,retail,False,True,False,False,False,True,,,,,23.79,0.01,0.0143,33.1,31.25,0.2378994469787944,bank_inflow_much_lower_than_declared,,,,1.0,100.0,100.0,0.0386,16.31,,residential,constructed,8644085.15,6,1.0,0.667,0.667,0.667,0.0,0.67,6.0,,,,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00037,A,retail,False,True,False,True,False,True,,,,,73.04,-0.02,0.0129,37.32,30.59,0.7304496173844207,consistent,623.0,86.0,2026-05-24,4.3,100.0,5.87,0.0158,17.09,,commercial,bare_plot,45310402.92,6,0.833,0.667,0.5,0.5,0.0,2.33,6.0,,,,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00038,A,manufacturing,False,True,False,True,False,False,,,,,78.13,-0.38,-0.0862,33.2,35.16,0.7813238460707685,consistent,643.0,86.7,2026-05-29,4.5,100.0,100.0,0.0503,29.16,,,,,6,0.167,0.5,0.667,0.167,0.0,16.33,6.0,,,,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00039,A,services,False,True,True,False,False,False,2.348,0.417,,,100.0,0.06,0.1085,37.75,54.63,1.850947638824704,consistent,,,,6.7,100.0,100.0,0.0022,7.98,0.4926,,,,6,1.0,0.833,1.0,0.833,0.0,-0.5,6.0,,,,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00040,C,services,True,True,True,True,False,False,1.667,2.394,,,100.0,0.26,0.012,34.6,44.28,1.0774756884764032,consistent,781.0,71.6,2026-06-20,9.7,100.0,100.0,0.0177,38.89,0.3329,,,,6,0.667,1.0,0.833,0.5,0.0,3.33,6.0,1.0,6.0,,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable
MSME-00041,A,trading,False,True,False,True,False,False,,,,,95.39,0.25,0.1222,32.04,32.05,0.953882813797826,consistent,774.0,45.4,2026-05-31,12.1,100.0,100.0,0.0035,13.0,,,,,6,0.833,1.0,1.0,1.0,0.0,-1.0,6.0,,,,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00042,C,retail,True,True,True,True,False,False,1.901,1.892,,,100.0,-0.06,0.0095,35.05,32.64,1.2338637517691635,consistent,688.0,49.6,2026-06-02,13.2,100.0,100.0,0.0122,23.0,0.291,,,,6,0.833,1.0,0.5,0.667,0.0,1.17,6.0,0.667,6.0,,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable
MSME-00043,C,services,True,True,True,True,True,True,1.732,3.662,1.259,3.082,54.71,-0.17,0.012,48.65,35.08,0.5471334282106295,consistent,629.0,38.3,2026-05-02,13.8,100.0,100.0,0.0129,8.44,0.2866,commercial,bare_plot,14710691.04,6,0.667,0.5,0.833,0.833,0.0,0.5,6.0,0.5,6.0,0.0,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
MSME-00044,A,retail,False,True,True,True,False,False,1.764,0.727,,,21.15,,0.1338,43.0,35.39,0.2114759352480258,bank_inflow_much_lower_than_declared,729.0,60.2,2026-06-19,4.2,100.0,100.0,0.0052,19.5,0.3379,,,,5,0.8,0.8,0.8,1.0,0.0,-1.83,6.0,,,,available,available,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,available,available,available,available,insufficient_data,available,not_applicable,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,not_applicable
MSME-00045,C,retail,True,True,True,True,True,False,2.581,0.429,8.779,10.0,100.0,0.02,0.1282,45.21,54.45,1.1152497671023935,consistent,793.0,42.4,2026-05-23,14.8,100.0,100.0,0.0028,5.0,0.5353,,,,6,1.0,1.0,0.833,1.0,0.0,-1.17,6.0,1.0,6.0,1.0,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable
MSME-00046,C,services,True,True,False,True,False,False,,,,,100.0,-0.49,-0.0949,39.04,38.85,1.4842003256842995,consistent,417.0,78.5,2026-05-15,13.2,0.0,100.0,0.0551,49.96,,,,,6,0.5,0.333,0.167,0.5,0.333,4.75,6.0,0.5,6.0,,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable
MSME-00047,A,trading,False,True,False,True,True,False,,,7.414,10.0,81.55,0.06,0.1338,29.11,32.24,0.8154612221600032,consistent,763.0,28.4,2026-06-29,2.7,100.0,100.0,0.0029,3.99,,,,,6,1.0,1.0,0.833,1.0,0.0,-1.5,6.0,,,1.0,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,not_applicable,available,available,available,not_applicable
MSME-00048,A,services,False,True,True,True,False,False,1.705,4.408,,,100.0,-0.15,0.012,38.07,39.81,1.424188493186562,consistent,753.0,92.6,2026-06-17,5.0,100.0,100.0,0.0161,39.89,0.2082,,,,6,1.0,0.667,0.833,0.5,0.0,2.33,6.0,,,,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,not_applicable,available,available,available,not_applicable
MSME-00049,C,retail,True,True,True,True,False,True,2.341,0.364,,,100.0,0.2,0.1278,37.8,32.47,1.0241224946175456,consistent,751.0,35.7,2026-05-18,11.5,100.0,100.0,0.0049,17.95,0.4317,commercial,bare_plot,82195484.6,6,1.0,0.833,0.833,1.0,0.0,-1.17,6.0,1.0,6.0,,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,available
MSME-00050,A,services,False,True,False,False,True,True,,,0.262,4.206,31.38,,-0.0776,43.91,29.76,0.3137893669187311,bank_inflow_much_lower_than_declared,,,,6.1,100.0,100.0,0.0244,43.45,,commercial,constructed,151932183.28,3,0.667,0.0,0.0,0.333,0.0,13.33,6.0,,,0.0,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,not_applicable,available,available,available,insufficient_data,not_applicable,available,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,available
MSME-00051,A,retail,False,True,False,False,False,True,,,,,100.0,0.04,0.1395,32.44,32.59,1.283986305910365,consistent,,,,4.6,100.0,100.0,0.0041,14.96,,commercial,constructed,208124172.06,6,1.0,1.0,1.0,0.833,0.0,-0.83,6.0,,,,not_applicable,not_applicable,not_applicable,not_applicable,available,available,available,available,available,not_applicable,available,available,available,available,not_applicable,not_applicable,available,not_applicable,available,available,available,available
MSME-00052,A,trading,False,True,True,True,True,True,1.978,0.381,6.126,10.0,62.1,0.11,0.1095,40.25,39.73,0.6209845165448222,consistent,751.0,28.6,2026-05-16,2.7,100.0,100.0,0.0046,5.01,0.4255,commercial,bare_plot,21027652.66,6,1.0,1.0,0.833,1.0,0.0,-2.17,6.0,,,1.0,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available
MSME-00053,C,services,True,True,True,True,True,False,0.722,6.172,0.707,4.688,14.11,0.33,-0.089,34.49,30.89,0.141055343493531,bank_inflow_much_lower_than_declared,469.0,84.0,2026-05-21,21.8,1.75,100.0,0.0393,68.81,0.213,,,,6,0.333,0.167,0.333,0.5,0.0,10.67,6.0,0.667,6.0,1.0,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable
MSME-00054,C,retail,True,True,False,True,True,True,,,1.274,10.0,32.42,0.21,-0.0835,38.54,36.53,0.3242061477839862,bank_inflow_much_lower_than_declared,538.0,100.0,2026-06-11,14.9,100.0,100.0,0.0471,61.0,,commercial,constructed,34032557.14,6,0.667,0.5,0.5,0.333,0.167,14.4,6.0,0.333,6.0,,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,available
MSME-00055,C,retail,True,True,False,True,True,False,,,10.0,10.0,100.0,0.11,0.1301,30.74,36.12,1.281202224525691,consistent,757.0,50.8,2026-06-06,11.4,100.0,100.0,0.0025,8.98,,,,,6,1.0,0.833,1.0,1.0,0.0,-1.0,6.0,1.0,6.0,,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,available,not_applicable,not_applicable,available,available,available,available,available,not_applicable
MSME-00056,C,retail,True,True,True,True,False,False,2.609,0.586,,,100.0,0.11,0.1312,39.01,36.56,2.19311151302885,consistent,728.0,37.1,2026-06-12,13.5,100.0,100.0,0.0028,10.0,0.458,,,,6,1.0,1.0,1.0,1.0,0.0,-2.33,6.0,0.833,6.0,,available,available,not_applicable,not_applicable,available,available,available,available,available,available,available,available,available,available,available,not_applicable,available,available,available,available,available,not_applicable
MSME-00057,A,trading,False,True,False,False,False,False,,,,,48.38,,0.0118,40.37,53.99,0.4838251186131422,consistent,,,,2.7,2.77,100.0,0.0185,33.18,,,,,4,0.75,0.75,0.5,0.667,0.167,-0.8,6.0,,,,not_applicable,not_applicable,not_applicable,not_applicable,insufficient_data,insufficient_data,insufficient_data,insufficient_data,insufficient_data,not_applicable,available,available,available,insufficient_data,not_applicable,not_applicable,insufficient_data,not_applicable,insufficient_data,insufficient_data,insufficient_data,not_applicable
